gene,Patient_AKI7,Patient_AKI1,Patient_AKI2,Patient_AKI3,Patient_AKI4,Patient_AKI5,Patient_AKI11,Patient_AKI12,Patient_AKI6,Patient_AKI9,Patient_AKI10,Patient_AKI8,Patient_AKI13,Patient_AKI14,Patient_AKI15,Patient_AKI16,Patient_AKI17,Patient_AKI18,Patient_AKI19,Patient_AKI20,Patient_AKI21,Patient_AKI22,Patient_AKI23,Patient_AKI24,Patient_AKI25,Patient_AKI26,Patient_AKI27,Patient_AKI28,Patient_AKI29,Patient_AKI30,Patient_AKI31,Patient_AKI32,Patient_AKI33,Patient_AKI34,Patient_AKI35,Patient_AKI36,Patient_AKI37,Patient_AKI38,Patient_AKI39
FABP1,10.6875,0,0,25.1875,1184.645833,0,0,4.479166667,4.875,0,4.6875,6.583333333,220.7708333,97.04166667,334.8333333,0,495.1666667,19.0625,31.52083333,755.8541667,67.6875,78.70833333,58.91666667,0,0,150.9791667,193.2916667,105,123.0625,381.8125,0,60.125,128.6041667,0,10.35416667,12.52083333,0,109.9375,8.416666667
TOR1B,177.3333333,37.10416667,140.6458333,122.5416667,70.66666667,63.14583333,125.4791667,85.45833333,87.08333333,85.41666667,79.10416667,159.4791667,50.41666667,0,0,0,507.6041667,0,148.4375,0,38.875,100.7291667,0,66.02083333,43.52083333,59.64583333,109.8125,14.39583333,41.16666667,18.16666667,48.41666667,199.9791667,256.1458333,0,10.35416667,74.875,109.2291667,0,0
ORAI1,28.91666667,117.3541667,45.85416667,21.22916667,12.0625,76.39583333,284.3958333,34,27.8125,27.25,20.52083333,54.10416667,15.125,0,0,0,0,233.8541667,55.20833333,43.70833333,27.125,89.95833333,0,16.27083333,6.666666667,3.125,19.3125,0,0,3.75,12.02083333,60.125,23.5625,0,95.60416667,0,109.2291667,23.52083333,2.416666667
SLC2A1-AS1,8.1875,0,0,2.791666667,30.02083333,11.83333333,0,7.770833333,3.395833333,16.125,9.3125,6.583333333,15.125,0,79.10416667,0,0,0,108.625,598.875,2.354166667,26.625,0,5.458333333,0,0,19.3125,0,0,3.75,0,0,0,0,69.45833333,0,11.89583333,0,0
NUDT15,2.041666667,31,77.39583333,51.16666667,71.91666667,50.5,122.375,58.75,64.27083333,43.64583333,54.33333333,26.10416667,39.10416667,78.875,41.29166667,0,836.8333333,0,80.95833333,148.3333333,17.875,8.791666667,0,107.1041667,43.52083333,0,0,520.2916667,265.875,0,132.1458333,0,48.58333333,0,69.45833333,132.5833333,65.64583333,4.541666667,4.645833333
ZP4,7.5,0,0,3.1875,0,0,5.583333333,3.458333333,1.895833333,1.791666667,7.8125,0,0,0,0,0,0,8.625,6.625,5.145833333,2.354166667,59.64583333,0,0,6.666666667,47.375,25.3125,46.22916667,0,0,12.02083333,0,0,0,229.5625,12.52083333,0,63.02083333,20.16666667
PTPRN2,363.3333333,56,20.22916667,144.7083333,51.75,76.39583333,52.16666667,57.54166667,98.58333333,84.25,113.6875,98.33333333,15.125,0,547.1041667,49.5,0,8.625,573.7708333,296.4791667,1467.625,276.2708333,0,11.54166667,10.875,132.9375,87.39583333,0,863.1875,263.0833333,89.33333333,1254.208333,0,0,585.0833333,0,4.791666667,94.1875,296.6041667
GOLGA2P6,76.08333333,26.8125,0,26.58333333,12.0625,9.958333333,5.583333333,11.22916667,9.104166667,21.79166667,16.97916667,19.66666667,0,0,0,0,0,49.35416667,46.64583333,0,3.25,11.70833333,0,0,24.375,735.6458333,47.54166667,240.1875,41.16666667,692.6875,0,174.0833333,23.5625,87.20833333,213.2291667,0,39.16666667,77.89583333,312.6458333
LOC101929579,2.333333333,0,0,2.791666667,15.3125,0,0,11.22916667,0,3.875,2.25,1.145833333,62.91666667,0,0,0,0,0,0,0,4.229166667,0,0,5.458333333,16.89583333,0,0,0,23.9375,0,12.02083333,20.83333333,23.5625,0,0,0,0,35,0
EPPIN,2.666666667,0,0,0.875,0,0,0,2.375,2.6875,2.583333333,0.541666667,2.5,0,0,0,0,0,0,71.95833333,11.08333333,11.29166667,1.354166667,0,0,126.7708333,72.70833333,31.85416667,14.39583333,335.3541667,293.125,0,12.64583333,0,0,0,0,0,299.2291667,2.416666667
UBAP1,288.2083333,350.3541667,561.125,327.8958333,248.8125,450.5,551.7916667,397.0833333,433.8541667,407.9166667,454.5,236.75,569.5625,97.04166667,212.3958333,542.4791667,0,66.54166667,257.4375,402.2708333,327.1875,508.3958333,104.125,285.875,424.0833333,168.7708333,180.4166667,262.8333333,74.3125,338.8958333,557.5833333,435.7708333,283.4166667,360.375,801.3333333,151.9791667,374.9375,454.2083333,627.3958333
TTC39C,199.4166667,131.7916667,95.25,90.77083333,80.52083333,75.125,26.64583333,103.3958333,104,138.7708333,140.2708333,186.5625,120.5208333,0,350.4583333,81.0625,0,196.1041667,3.8125,375.7083333,99.1875,89.95833333,521.7916667,254.1666667,126.7708333,27.20833333,121.2708333,148.875,123.0625,397.0833333,475.3333333,53.64583333,128.6041667,0,57.33333333,341.6666667,176.4166667,77.89583333,92.3125
CCDC102B,254.75,668.0833333,324,327.8958333,195.5,128,65.27083333,113.5625,263.5833333,272.875,442.375,443.3958333,305.75,1185.958333,0,178.25,156.7916667,19.0625,14.08333333,321.1875,242.0208333,613.25,58.91666667,279.8333333,785.0833333,100.7083333,56.95833333,46.22916667,779.3333333,224.0625,132.1458333,81.52083333,514.2708333,183.7291667,82.27083333,151.9791667,268.9375,237.5,239.6875
GAL3ST1,4.9375,10.41666667,32.54166667,55.89583333,192.875,42.39583333,0,52.5,86.02083333,21.45833333,4.6875,31.39583333,62.91666667,0,0,204.75,0,66.54166667,55.20833333,148.3333333,6.916666667,3.520833333,0,147.8541667,16.89583333,0,1.770833333,148.875,0,0,0,6.020833333,0,0,82.27083333,0,65.64583333,8.4375,60.45833333
LOC101928303,6.791666667,10.41666667,34.875,31.89583333,135.3333333,92.125,26.64583333,43.1875,30.16666667,13.95833333,12.9375,8.6875,62.91666667,0,0,0,0,0,25.14583333,187.8541667,0,0,0,74.66666667,0,0,98.22916667,105,0,6.125,35.0625,9.104166667,0,0,0,0,9.770833333,0,4.645833333
UROC1,43.58333333,6.854166667,0,23.89583333,0,0,0,4.479166667,13.54166667,9.375,2.604166667,2.5,27.39583333,0,79.10416667,0,0,8.625,99.25,187.8541667,32.75,150.3958333,0,3.708333333,150.1666667,19.29166667,385.5,29.0625,204.4583333,70.375,147.625,41.64583333,0,0,69.45833333,12.52083333,0,299.2291667,658.5625
SLAMF6,19.75,85.72916667,37,9.625,16.5625,32.29166667,0,22.27083333,9.104166667,29.39583333,17.91666667,96.27083333,0,65.54166667,0,0,0,0,14.08333333,5.145833333,8.895833333,11.70833333,0,5.458333333,0,0,3.0625,64.89583333,360.8958333,31.14583333,22.375,9.104166667,0,87.20833333,2.75,0,120.0208333,0,0.666666667
KDELC1,5.520833333,77.6875,18.875,61.75,35.29166667,63.14583333,36.375,51.52083333,43.95833333,42.9375,46.91666667,17.29166667,15.125,199.5833333,0,0,0,19.0625,0,166.5416667,3.25,3.520833333,223.3541667,54.91666667,126.7708333,36.64583333,3.0625,699.1041667,0,18.16666667,0,6.020833333,0,0,28.33333333,341.6666667,27.27083333,0,0
HOXD10,2.333333333,403.6666667,643.6458333,549.125,206.3333333,555.6666667,5.583333333,480.0833333,778.9166667,759.3958333,571.7291667,368.9583333,372.625,610.8125,0,955.5416667,0,49.35416667,378.5208333,43.70833333,270.7083333,187.3958333,0,1203.208333,623.0208333,12.95833333,310.0625,64.89583333,312.2291667,182.1666667,48.41666667,0,205.0416667,389.125,57.33333333,132.5833333,957.5,588.7291667,282.7916667
LOC148413,81.33333333,12.14583333,46.875,45.52083333,74.5625,100.5833333,56.6875,68.1875,54.29166667,100.3125,41.02083333,72.91666667,120.5208333,0,0,262.5,1599.4375,66.54166667,189.5,273.3958333,6.916666667,26.625,0,54.91666667,43.52083333,12.95833333,1.770833333,105,0,24.04166667,0,199.9791667,48.58333333,0,14.8125,12.52083333,129.9583333,8.4375,170.0625
MIR142,0,43,0,0.4375,0,0,7.5625,0,14.47916667,7.75,4.291666667,13.4375,0,0,0,0,208.2083333,0,3.8125,0,6.916666667,1.354166667,0,112.875,6.666666667,5.375,0,0,0,0,0,0,0,0,2.75,25.66666667,55.64583333,0,0
TECR,78.75,75.77083333,91.16666667,144.7083333,189.1666667,375.8541667,622.0416667,213.7083333,212.6666667,120.5625,114.3125,108.5208333,132.7291667,156.375,79.10416667,0,276.6666667,177.1875,390.5625,59.45833333,117.375,26.625,104.125,157.1041667,10.875,27.20833333,11.20833333,310.5833333,49.25,59.20833333,89.33333333,575.7083333,48.58333333,295.2083333,10.35416667,251.7708333,129.9583333,94.1875,239.6875
CYP24A1,28.91666667,1376.083333,1498.75,105.3958333,226.1875,93.58333333,5.583333333,693.4583333,75.6875,129.1875,2219.125,7.916666667,2424.145833,300.5625,91.83333333,0,156.7916667,233.8541667,3.8125,59.45833333,38.875,34.0625,198.7083333,61.04166667,6.666666667,59.64583333,56.95833333,14.39583333,14.20833333,277.6666667,0,20.83333333,23.5625,778.9166667,527.8541667,57.04166667,209.1458333,454.2083333,197.2083333
SH3TC1,236.8125,888.8541667,633.4583333,472.6875,359.2291667,345.3958333,35.4375,403.6666667,360.6041667,358.8541667,168.8333333,418.8125,1181.145833,718.75,606.3333333,295.3958333,374.3125,310.3958333,266.9375,1390.666667,1311,238.7916667,58.91666667,1104.520833,424.0833333,711.1041667,773.625,666.9583333,704.6666667,709.4791667,132.1458333,1270.354167,514.2708333,87.20833333,360.4583333,723.7083333,541.25,588.7291667,1400.604167
LOC399815,4.9375,0,0,1.833333333,0,56.0625,0,6.645833333,7.291666667,5.208333333,4.020833333,4.666666667,0,0,0,0,0,0,71.95833333,166.5416667,14.4375,0,0,0,3.6875,85.58333333,0,0,0,18.16666667,22.375,16.39583333,0,0,95.60416667,0,0,63.02083333,1.520833333
PYCR2,212.25,73.8125,490.9166667,147.2083333,229.0208333,258.8541667,257.75,208.7083333,238.9583333,197.5833333,203.5,225,153.9583333,189.8958333,0,295.3958333,156.7916667,159.0208333,25.14583333,43.70833333,224.5,212.0416667,58.91666667,327.4583333,591.1458333,27.20833333,77.04166667,14.39583333,0,24.04166667,205.4583333,16.39583333,75.625,0,122.125,210.0416667,186.3333333,549.8541667,267.6666667
LOC100506085,23.27083333,0,0,7.854166667,143.2083333,0,5.583333333,18.6875,21.85416667,5.208333333,23.8125,3.625,0,0,0,0,0,0,3.8125,428.4791667,45.33333333,68.64583333,0,13.9375,10.875,36.64583333,11.20833333,29.0625,499.9375,142.4166667,48.41666667,30.20833333,75.625,0,82.27083333,0,0,4.541666667,92.3125
BOLA3-AS1,9,28.91666667,15.0625,17.72916667,15.3125,54.97916667,63.20833333,39.66666667,29.41666667,26.25,8.770833333,19.66666667,0,0,97.58333333,189.5,0,0,31.52083333,30.66666667,14.4375,1.354166667,0,46.04166667,6.666666667,12.95833333,8.520833333,29.0625,41.16666667,115.75,0,284.7083333,0,1776.916667,0,25.66666667,0,14.89583333,32.47916667
VCPIP1,322.2916667,652.4791667,628.8541667,401.25,380.9375,683.75,569.875,404.9166667,461.9791667,420.6875,471.5833333,500.7291667,252.9583333,341.4166667,2818.229167,87.04166667,253.2291667,66.54166667,19.0625,166.5416667,345.7708333,137.2708333,708.9791667,304.6041667,283.6458333,36.64583333,8.520833333,0,233.9791667,115.75,12.02083333,142.3125,179.0625,360.375,547.5833333,40.58333333,430.9166667,190.6666667,15.47916667
REXO4,556,194.7708333,403.2291667,191.2083333,279.4166667,228.625,508.6875,261.2916667,378.875,277.5625,209.3333333,318.3333333,243.0208333,374.125,0,283.0625,183.25,141.0833333,310.8333333,273.3958333,38.875,78.70833333,169.5416667,245.0416667,351.8541667,301.7916667,39.47916667,64.89583333,454.8541667,397.0833333,0,531.5833333,582,140.2916667,149.5416667,40.58333333,295.9166667,269.2708333,104.6666667
MBTD1,462.7291667,391.5,457.7083333,343.7083333,279.4166667,255.0416667,335.5833333,352.1458333,298.3541667,305.1041667,451.125,365.6875,220.7708333,518.5833333,814.2916667,149.1041667,0,0,403.1666667,296.4791667,134.1458333,20.79166667,0,288.8333333,33.52083333,280.7083333,25.3125,0,32.8125,1081.375,475.3333333,47.5625,48.58333333,140.2916667,259.375,658.2083333,186.3333333,77.89583333,25.60416667
LOC442028,26.97916667,0,0,3.833333333,0,13.375,0,2.375,0,1.3125,1.708333333,3.041666667,0,0,0,0,0,85.02083333,6.625,0,67.6875,42.10416667,0,0,77.75,19.29166667,11.20833333,0,186.2291667,18.16666667,0,47.5625,23.5625,0,95.60416667,295.6458333,16.54166667,35,197.2083333
ARFGAP1,363.3333333,380.4375,482.5416667,325.25,498.125,206.9583333,196.1041667,466.8125,330.3958333,580.625,374.8333333,527.6458333,1035.020833,668.0833333,108,174.7291667,482.0833333,570.4791667,366.5833333,428.4791667,491.125,401.875,58.91666667,1065.770833,945.9583333,523.7083333,310.0625,805.375,114.8958333,353.5,267.1875,87.4375,391.0625,224.7291667,376.5,591.1458333,800.6041667,682.3333333,390.6458333
TAF1C,810.375,393.4166667,575.1458333,390.9583333,444.2916667,177.5833333,136.5416667,594.9791667,467.125,537.1458333,471.2708333,533.1041667,1448.541667,1354.583333,705.9375,138.2708333,482.0833333,546.8333333,118.2291667,148.3333333,308.3125,372.7916667,139.2916667,1165.4375,875,324.0625,385.5,731.2708333,114.8958333,353.5,147.625,25.41666667,631.9583333,450.5,822.2083333,1607.645833,787.7708333,454.2083333,941.1041667
DUXAP8,26.97916667,0,0,1.4375,16.5625,0,7.5625,0,0,7.083333333,0.541666667,0,0,0,0,0,0,8.625,6.625,251.4791667,1.604166667,8.791666667,0,0,0,0,3.0625,0,14.20833333,0,0,0,0,0,0,251.7708333,29.79166667,0,1.520833333
DCTN2,168.9583333,356.8333333,330.0625,364.3333333,324.1666667,497.2291667,517.7708333,465.8541667,455.1458333,344.25,264.375,248.25,361.625,259.0833333,0,791.75,650.25,177.1875,1180.0625,94.1875,432.7708333,747.3958333,0,259.375,395.0208333,185.3958333,155.9583333,46.22916667,244.1458333,6.125,117.2083333,150.4375,308.5208333,423,95.60416667,92.8125,354.2708333,423.6458333,143.8125
LOC100506274,0,0,0,2.3125,0,28.72916667,0,0,0,4.583333333,11.33333333,4.666666667,0,0,0,0,0,8.625,0,0,14.4375,11.70833333,771.8541667,0,10.875,12.95833333,0,0,0,0,117.2083333,0,0,0,28.33333333,74.875,0,35,11.47916667
USP50,11.72916667,0,45.85416667,2.791666667,15.3125,19.97916667,5.583333333,28.20833333,10.04166667,8.041666667,12.9375,14.25,50.41666667,0,0,0,0,0,3.8125,76.6875,5.3125,1.354166667,0,9.354166667,0,0,25.3125,0,0,13.29166667,0,0,0,0,14.8125,0,39.16666667,23.52083333,129.6458333
LRRC2,15.66666667,75.77083333,80.875,73.375,37.6875,42.39583333,2490.979167,218.6458333,81.6875,147.125,66.35416667,36.0625,50.41666667,88.85416667,52.22916667,0,208.2083333,66.54166667,321.8541667,11.08333333,32.75,50.3125,198.7083333,112.875,90.1875,12.95833333,281.9166667,285.5833333,0,81.02083333,48.41666667,256,205.0416667,0,10.35416667,74.875,170.2291667,4.541666667,253.625
VSTM2L,19.75,21.04166667,0,5.354166667,16.5625,0,0,4.479166667,1.895833333,11.41666667,5.916666667,4.0625,0,0,0,0,0,66.54166667,63.5,11.08333333,1.604166667,34.0625,0,0,3.6875,0,121.2708333,84.35416667,0,0,12.02083333,737.6666667,128.6041667,0,4.604166667,0,0,14.89583333,11.47916667
GALNT10,199.4166667,486.0416667,597.0833333,277.125,302.9375,783.2083333,133.9583333,790.3333333,725.1041667,353.5,516.7708333,407.9166667,316.4583333,268.4583333,228.8125,396.5,183.25,570.4791667,14.08333333,94.1875,522.625,552.4791667,1976.354167,192.7916667,719.5833333,368.7708333,1227.229167,1001.1875,168.0416667,912.4791667,267.1875,614.1875,179.0625,295.2083333,1158.166667,1432.416667,295.9166667,358.125,583.2708333
CECR7,199.4166667,102.8541667,99.0625,52.9375,26.35416667,0,65.27083333,39.66666667,9.104166667,47.33333333,34.25,33.20833333,166.375,259.0833333,334.8333333,0,0,0,128.7083333,148.3333333,2.354166667,100.7291667,0,71.83333333,66.14583333,132.9375,4.416666667,0,89.95833333,0,475.3333333,103.2916667,48.58333333,0,0,40.58333333,69.125,35,15.47916667
