gene,Patient_AKI7,Patient_AKI1,Patient_AKI2,Patient_AKI3,Patient_AKI4,Patient_AKI5,Patient_AKI11,Patient_AKI12,Patient_AKI6,Patient_AKI9,Patient_AKI10,Patient_AKI8,Patient_AKI13,Patient_AKI14,Patient_AKI15,Patient_AKI16,Patient_AKI17,Patient_AKI18,Patient_AKI19,Patient_AKI20,Patient_AKI21,Patient_AKI22,Patient_AKI23,Patient_AKI24,Patient_AKI25,Patient_AKI26,Patient_AKI27,Patient_AKI28,Patient_AKI29,Patient_AKI30,Patient_AKI31,Patient_AKI32,Patient_AKI33,Patient_AKI34,Patient_AKI35,Patient_AKI36,Patient_AKI37,Patient_AKI38,Patient_AKI39
MALAT1,1019520.813,1019520.813,1019520.813,1019520.813,1019520.813,1019520.813,61716.91667,1019520.813,417663.0625,1019520.813,1019520.813,417663.0625,80533.70833,114659.1875,80533.70833,145621,44085.04167,44085.04167,61716.91667,44085.04167,61716.91667,37030.20833,44085.04167,259236.6667,145621,61716.91667,80533.70833,61716.91667,23099.91667,80533.70833,61716.91667,23099.91667,61716.91667,44085.04167,37030.20833,44085.04167,259236.6667,80533.70833,61716.91667
LINC01000,2250.208333,2361.375,1837.3125,1293.1875,1775.1875,1105.1875,445.375,1438.5,1584.604167,2190.291667,1454.708333,2696.833333,8040.645833,10217.97917,12653.08333,13996.54167,19781.52083,10504.4375,19781.52083,19104.27083,15062.89583,23099.91667,19781.52083,8433.895833,4864.0625,26228.10417,15717.4375,21926.9375,21926.9375,37030.20833,21926.9375,20992.25,21926.9375,26228.10417,28736.02083,18211.3125,4435.395833,9691.770833,15062.89583
SNORD3D,207.3958333,3486.854167,1066.895833,1125.895833,964.0625,4828.75,120.8333333,2160.4375,997.4583333,497.8333333,249.3333333,3788.458333,13006.22917,13006.22917,15062.89583,4401.041667,26228.10417,23099.91667,33189.35417,37030.20833,23099.91667,28736.02083,28736.02083,5273.104167,9876.708333,28736.02083,12231.39583,12231.39583,19781.52083,9027.229167,15062.89583,16953.625,20992.25,19781.52083,11171.9375,19104.27083,10217.97917,19781.52083,21926.9375
ABLIM1,1423.020833,1071.270833,2946.625,2541.645833,2810.208333,3475.5,1935.645833,2431.854167,2576.5,1088.854167,2289.8125,1719.979167,1166.104167,484.6875,461.8125,1441.833333,0,1970.270833,424.5625,509.3958333,1369.729167,276.2708333,223.3541667,1040.708333,897.75,419.8125,701.2083333,581.0416667,265.875,644,267.1875,655.8541667,1144.145833,998.8333333,1282.416667,384.4583333,1223.541667,497.4791667,583.2708333
SNORD22,13.02083333,832,867.3541667,866.6041667,459,162.9166667,93.75,492.4375,309.7916667,130.75,244.8541667,464.2083333,4864.0625,5219.229167,6152.041667,1516.166667,8774.958333,8774.958333,4920.541667,10504.4375,9235.8125,5933.520833,5933.520833,2992.4375,2859.770833,8040.645833,4529.479167,7304.479167,12653.08333,2920.125,3902.333333,3123.25,6116.416667,10062.6875,2929.4375,6116.416667,2635.8125,5512.208333,5219.229167
SNORA21,58.5,3116.395833,1047.3125,1981.833333,1254.208333,502.1666667,81.33333333,1837.3125,870.6041667,328.875,321.3333333,1806.041667,15717.4375,10963.875,9876.708333,3547.3125,20992.25,13996.54167,3581.166667,8129.479167,7394.583333,9691.770833,9332.3125,5512.208333,6676.875,11927.25,6899.479167,8774.958333,8774.958333,6116.416667,7304.479167,5080.854167,13996.54167,15062.89583,3218.458333,13006.22917,5933.520833,10062.6875,10062.6875
LUC7L3,5034.75,5896.916667,3635.8125,6152.041667,6899.479167,4020.458333,2586.458333,7100.208333,8661.083333,9235.8125,4504.6875,13006.22917,9027.229167,14619.16667,16953.625,6676.875,13006.22917,19104.27083,8774.958333,20992.25,19781.52083,20992.25,16953.625,19781.52083,23099.91667,15717.4375,21926.9375,19104.27083,15062.89583,18211.3125,20992.25,15717.4375,19104.27083,19104.27083,21926.9375,26228.10417,15062.89583,23099.91667,26228.10417
UBE4A,358.7916667,698.5416667,931.8541667,727.875,804.7083333,497.2291667,629.625,648.7083333,473.9375,613.4791667,778.6666667,591.6666667,337.2083333,88.85416667,52.22916667,400.4583333,156.7916667,367.4583333,472.4166667,273.3958333,386.875,212.0416667,0,360.9791667,273.9583333,548.2083333,229.4166667,216.4791667,149.2083333,129.1666667,634.875,209.8333333,48.58333333,0,259.375,40.58333333,437,109.9375,423
TRIP12,1539.708333,2616.5,2269.9375,2245.354167,2311.583333,2426.208333,2008.166667,1933.5,1736.583333,1887.854167,2431.854167,1668.708333,1248.25,707.4583333,772.1875,1887.854167,693.1458333,692.6875,2183.291667,509.3958333,1353.6875,1457.645833,521.7916667,1022.145833,777.1041667,573.1458333,1332.479167,666.9583333,1117,1190.645833,967.9791667,1183.3125,911.3333333,183.7291667,932.5625,384.4583333,1531.375,1037.125,822.5416667
CHD3,3035.166667,3955.8125,2576.5,3999.041667,1588.833333,3394.5625,481.2291667,4265.8125,6004,5586.833333,3133.416667,6152.041667,3660.583333,5896.916667,6978.354167,6613.354167,6485.0625,6613.354167,7100.208333,15717.4375,13480.1875,15717.4375,13480.1875,14619.16667,15717.4375,9876.708333,8896.5625,10062.6875,8661.083333,9691.770833,15717.4375,12231.39583,11660.85417,10217.97917,13996.54167,14619.16667,9545.458333,12653.08333,10504.4375
HELZ,1187.583333,1512.1875,1251.354167,1302.875,1330.125,1440.5625,1444,1166.104167,1124.166667,1189.645833,1730.375,1353,669.625,259.0833333,827.125,533.8541667,544.2916667,711.9375,620.8541667,458.4166667,1127.9375,702,429.25,976.625,383.3125,324.0625,669.625,609.0833333,32.8125,519.1041667,795.3958333,126.9791667,256.1458333,183.7291667,724.4166667,473.3125,1259.229167,315.8125,549.125
TRIP11,1026.729167,1381.583333,861,1486.479167,1498.75,1755.041667,1427.770833,1643.604167,1716.541667,1467.625,1733.3125,1666.1875,491.5208333,322.4791667,371.875,192.6666667,208.2083333,672.3125,944.3541667,321.1875,522.625,447.75,361.7083333,1118.75,1365.791667,548.2083333,1165.4375,105,685.6458333,307.7291667,220.6875,388.7916667,391.0625,261.75,604.8333333,428.7083333,878.4166667,315.8125,627.3958333
DYNC1H1,7581.4375,5835.9375,5835.9375,7581.4375,5742.083333,5443.5,3955.8125,6152.041667,6899.479167,6061.5625,5141.458333,6676.875,3303.020833,4529.479167,1415.208333,3453.916667,857.8333333,4220.770833,4333.791667,3804.1875,6116.416667,2738.8125,1225.479167,4955.166667,3725.75,4088.5625,3379.729167,3725.75,3367.541667,3226.520833,2476.770833,3755.104167,2472.375,1962.1875,2476.770833,2983.416667,6899.479167,2411.354167,2561.645833
ZNF518A,492.0208333,763.75,822.2083333,707.9375,681.75,692.4166667,339.1875,669.375,606.0625,596.1875,979.7916667,527.6458333,337.2083333,300.5625,59.16666667,0,0,159.0208333,71.95833333,5.145833333,345.7708333,250.5,104.125,398.75,138.6666667,59.64583333,254.6875,310.5833333,373.4583333,115.75,235.0833333,12.64583333,230.9791667,87.20833333,293.8958333,210.0416667,365.2708333,4.541666667,296.6041667
KIAA1109,2237.625,2527,3024.291667,4485,4088.5625,3177.5625,2566.895833,2771.041667,2771.041667,2765,3560.6875,3109.875,1664.9375,2481,2072.791667,1215.125,253.2291667,1105.1875,2417.645833,402.2708333,1033.5625,976,316.8958333,3257.729167,1033.5625,1075.291667,1263.208333,699.1041667,2515.895833,535.2291667,756.4375,552.2708333,762.7708333,183.7291667,1518.645833,698.0208333,2355.041667,423.6458333,642.5625
WDR11,395.125,507.6041667,536.6041667,766.4791667,847.2708333,711.3541667,240.1875,589.9375,384.25,470.8958333,669.375,479.7291667,252.9583333,65.54166667,217.0208333,309.7291667,208.2083333,141.0833333,128.7083333,187.8541667,59.91666667,150.3958333,104.125,391.4166667,77.75,12.95833333,206.375,64.89583333,32.8125,92.47916667,48.41666667,519.4375,179.0625,0,122.125,57.04166667,299.1458333,190.6666667,129.6458333
RANGAP1,843.5625,1279.104167,488.6041667,568.2916667,519.1875,773.3125,342.9166667,1137.645833,1042.0625,916.7291667,595.3125,1135.416667,2190.291667,1341.8125,4714.270833,2650.979167,4485,3581.166667,2263.458333,11927.25,5742.083333,4361,9691.770833,2064.666667,6004,10062.6875,9332.3125,5394.625,9027.229167,7906.916667,8774.958333,2912.479167,7304.479167,6485.0625,5273.104167,8896.5625,2148.166667,7394.583333,8129.479167
DST,7394.583333,6061.5625,10504.4375,7796.854167,6116.416667,19104.27083,7684.5625,11171.9375,11171.9375,10963.875,10684.97917,9691.770833,2230.645833,6061.5625,3592.375,7186.375,1700.541667,3008.125,6393.416667,3052.25,3206.416667,3143.229167,1814.541667,3040.6875,4145,3116.395833,2992.4375,2885.3125,7796.854167,2077.4375,3725.75,3184.979167,1825.125,601.1041667,2555.208333,2232.9375,9027.229167,2070.791667,2663.229167
HUWE1,4361,4485,5551.208333,5791.979167,5551.208333,5896.916667,3635.8125,5896.916667,6393.416667,4795.104167,4633.020833,5323.145833,3404.125,3002.375,2938.916667,2962,2983.416667,2818.229167,4241.5,2406.1875,4607.770833,2178.625,1661.625,4282.125,4435.395833,3040.6875,3999.041667,3195.083333,312.2291667,2141.229167,2663.229167,3475.5,2774.875,1758.3125,2885.3125,2992.4375,5394.625,2692.125,1976.354167
SYNE2,7796.854167,16953.625,26228.10417,26228.10417,37030.20833,13996.54167,3040.6875,20992.25,21926.9375,15717.4375,37030.20833,19104.27083,9691.770833,8542.666667,13480.1875,1153.083333,2387.354167,7100.208333,9235.8125,2576.5,4333.791667,2424.145833,3581.166667,18211.3125,9027.229167,3982.541667,4197.104167,6613.354167,454.8541667,3652.229167,3560.6875,2992.4375,2305.666667,2141.229167,6152.041667,3740.1875,13996.54167,3592.375,3507.270833
PPARGC1A,174.5208333,832,2513,1654.125,1049.6875,1679.354167,1143.041667,2250.208333,2028.979167,654.0833333,1307.958333,551.4583333,798.8125,219.5416667,356.3541667,422.2916667,1005.541667,446.7291667,46.64583333,348.2708333,405.2291667,174.25,0,1188.604167,971.8958333,679.4583333,193.2916667,126.0625,0,39.95833333,147.625,6.020833333,490.2916667,183.7291667,448.6875,170.6458333,586.6875,206.3333333,225.2708333
PTMS,2663.229167,8433.895833,3394.5625,1933.5,3109.875,5219.229167,531.4166667,7304.479167,10062.6875,7186.375,2845.125,11418.5,7304.479167,9691.770833,13006.22917,10963.875,19104.27083,14619.16667,11660.85417,28736.02083,19104.27083,19104.27083,26228.10417,13006.22917,44085.04167,20992.25,28736.02083,19781.52083,12231.39583,19104.27083,44085.04167,28736.02083,26228.10417,20992.25,44085.04167,21926.9375,11927.25,33189.35417,23099.91667
GOLGB1,4380.625,5034.75,6749.270833,6676.875,11418.5,4955.166667,1697.375,7796.854167,7514.3125,6485.0625,7304.479167,5933.520833,2411.354167,2128.354167,2099.916667,3035.166667,2143.604167,2476.770833,5273.104167,2734,2321.208333,2962,2163.75,4145,3854.145833,1858.8125,2630.083333,1557.0625,414.2083333,1542.166667,2315.833333,6061.5625,1100.229167,0,2081.020833,1865.666667,4112.354167,1719.979167,1950.770833
RNU4-2,1141.395833,12231.39583,5512.208333,9545.458333,3166.895833,1632.166667,238.0833333,10963.875,2650.979167,1697.375,8542.666667,8040.645833,21926.9375,20992.25,26228.10417,11418.5,33189.35417,26228.10417,18211.3125,23099.91667,20992.25,26228.10417,21926.9375,23099.91667,14619.16667,33189.35417,20992.25,20992.25,80533.70833,28736.02083,33189.35417,44085.04167,37030.20833,28736.02083,9235.8125,20992.25,19781.52083,37030.20833,37030.20833
LRRC28,146.4791667,64.39583333,104.9375,77.5625,115.7708333,92.125,96.5625,30.58333333,54.29166667,40.6875,50.10416667,43.8125,85.4375,0,0,0,0,8.625,25.14583333,0,1.604166667,50.3125,58.91666667,61.04166667,16.89583333,12.95833333,0,0,0,0,48.41666667,47.5625,0,0,0,0,18.97916667,0,0
AKAP9,3547.3125,2977.208333,2519.729167,4380.625,4061.520833,3226.520833,3486.854167,4828.75,4576.666667,3740.1875,4457.833333,4380.625,1324.25,1037.125,2885.3125,772.6041667,423.1875,1863.729167,2442.5,884.3125,2173.333333,945.5,269.0208333,3600.3125,2824.5625,3280.916667,1705.083333,3367.541667,517.8958333,1529.583333,1400.604167,1125.458333,1334.708333,483.8541667,2506.854167,341.6666667,2533.020833,1187.583333,1474.125
PIK3C3,254.75,352.3333333,790.75,636.9791667,626.9583333,700.3125,427.8125,517.8958333,568.7708333,497.4791667,681.0833333,441,361.625,309.7916667,228.8125,138.2708333,567.3541667,85.02083333,461.4583333,187.8541667,270.7083333,162.3333333,0,325.0625,219.5833333,204,11.20833333,262.8333333,149.2083333,155.3541667,235.0833333,47.5625,102.2916667,0,360.4583333,74.875,252.0625,47.72916667,129.6458333
MACF1,8040.645833,11171.9375,10684.97917,13006.22917,10504.4375,15062.89583,2946.625,11660.85417,9027.229167,12231.39583,12653.08333,11927.25,5080.854167,9027.229167,9545.458333,9691.770833,1716.541667,5192.541667,6004,3123.25,6393.416667,3355.5,1814.541667,9332.3125,4282.125,3970.041667,3804.1875,4714.270833,5080.854167,2616.5,3379.729167,3999.041667,2765,1131.0625,2711.708333,1552.645833,12653.08333,2122.479167,3133.416667
SLC35A5,78.75,191.9583333,60,146.25,123.5416667,206.0625,113.2291667,115.875,90.625,100.3125,168.1666667,83.10416667,50.41666667,65.54166667,0,0,0,0,80.95833333,5.145833333,4.229166667,50.3125,0,66.02083333,66.14583333,5.375,0,0,0,0,0,6.020833333,48.58333333,0,0,40.58333333,72.35416667,47.72916667,3.416666667
FLNB,3444.354167,2719.541667,4241.5,5323.145833,3394.5625,3612.625,541.375,4401.041667,4127.833333,3432.479167,2800.520833,3379.729167,2337.125,2992.4375,1440.5625,3116.395833,632.9791667,2003.895833,2885.3125,631.7291667,1887.854167,1021.5,386.3541667,2818.229167,1840.8125,2201.666667,932.5625,731.2708333,1182.416667,1610.333333,1495.5625,1192.833333,1718.375,747.3958333,2337.125,964.0625,3444.354167,1092.9375,1772.0625
MKLN1,574.625,888.8541667,1434.333333,1146.208333,1175,1057.1875,606.0625,792.0625,562.2916667,1054.270833,1349.583333,836.5833333,559.0833333,886.3333333,1078.604167,719.1875,0,408.0416667,355.375,273.3958333,395.7291667,212.0416667,198.7083333,663.4166667,126.7708333,100.7083333,281.9166667,105,348.2708333,9.333333333,117.2083333,275.3958333,75.625,631.9583333,507.1041667,40.58333333,415.5416667,143.7916667,81.52083333
KIDINS220,1559.270833,1348.541667,1667.458333,1851.5,1251.354167,1843.4375,1040.708333,1535.375,1616.3125,1435.375,1562.708333,1431.208333,699.4166667,537.7291667,410.4583333,1452.6875,507.6041667,271.4166667,634.5416667,251.4791667,992.1458333,225.625,386.3541667,1354.583333,645.3541667,548.2083333,973.4791667,457.0833333,254.5625,583.625,510.3958333,897.75,337.5625,0,801.3333333,834.2916667,1233.645833,438.3541667,390.6458333
SNORD89,135.9375,1030.5625,1333.583333,1373.8125,918.3958333,279.0416667,190.2083333,1130.375,906.8958333,492.6666667,1149.8125,1327.375,9332.3125,7581.4375,3084.541667,1551.729167,5896.916667,3652.229167,2008.166667,4220.770833,11418.5,8896.5625,2055.291667,4828.75,3257.729167,7684.5625,5323.145833,12653.08333,647.7291667,10062.6875,6978.354167,1437.395833,8040.645833,11660.85417,4485,11418.5,6749.270833,10684.97917,8896.5625
ADH5,400.7708333,346.2291667,342.5416667,574.9791667,512.2916667,645.875,501.8125,436.4166667,409.625,380.8333333,303.1666667,385.5625,176.8958333,65.54166667,85.72916667,392.5833333,0,233.8541667,266.9375,30.66666667,27.125,187.3958333,104.125,168.75,66.14583333,36.64583333,3.0625,14.39583333,32.8125,263.0833333,0,35.70833333,23.5625,0,325.5416667,92.8125,89.625,315.8125,60.45833333
TMX3,504.75,584.7083333,474.6041667,374.6041667,357.7291667,429.0625,334.4375,291.7291667,348.875,415.6458333,542.2083333,351.6458333,153.9583333,122.0625,97.58333333,138.2708333,230.6458333,66.54166667,209.0625,5.145833333,186.6041667,238.7916667,58.91666667,343.8541667,172.875,19.29166667,145.1458333,84.35416667,49.25,210.6458333,89.33333333,588.0416667,48.58333333,140.2916667,149.5416667,57.04166667,232.75,143.7916667,60.45833333
SEC31A,861.7708333,1282.416667,1112.25,1134.875,1156.104167,883.1458333,869.8958333,924.6041667,1027.875,1086.541667,1321.229167,980.375,459.1041667,559.0833333,212.3958333,444.6041667,576.7708333,408.0416667,1087.104167,76.6875,491.125,788.1666667,552.6041667,583.2708333,363.75,368.7708333,206.375,395.125,289.0833333,249.25,205.4583333,118.875,230.9791667,328.6666667,229.5625,92.8125,618.6666667,695.1458333,92.3125
SMARCA1,413.6875,545.1666667,937.375,1125.895833,689.3541667,1064.958333,774.6666667,1122.291667,1092.333333,983.875,1090.75,820.6875,437.2291667,199.5833333,52.22916667,524.4166667,156.7916667,196.1041667,996.7083333,19.47916667,270.7083333,493.1041667,58.91666667,558.9166667,315.7083333,241,324.6666667,169.7708333,106.3958333,155.3541667,12.02083333,199.9791667,128.6041667,328.6666667,259.375,295.6458333,347.6041667,143.7916667,197.2083333
CNOT1,950.2291667,1379.083333,1652.0625,1892.5,1664.9375,1650.020833,1131.0625,1661.625,1467.625,1487.5,1818.104167,1442.583333,650.25,620.4791667,212.3958333,1083,357.3541667,947.75,1110.729167,187.8541667,1045.375,1239.041667,198.7083333,1139.958333,750.7708333,548.2083333,622.6458333,970.9375,32.8125,142.4166667,235.0833333,314.8958333,417.5416667,328.6666667,527.8541667,365.1041667,1724.770833,613.9375,532.4375
TMEM127,282.9791667,309.2083333,641.4583333,430.2916667,359.2291667,766.8333333,212.6666667,532.1458333,433.2916667,458.7708333,491.2708333,316.1458333,220.7708333,106.4583333,41.29166667,429.5416667,0,367.4583333,178.25,348.2708333,160.2291667,15.85416667,58.91666667,261.8541667,252.625,36.64583333,229.4166667,84.35416667,223.3125,13.29166667,35.0625,81.52083333,128.6041667,224.7291667,28.33333333,341.6666667,315.7083333,206.3333333,92.3125
SCARNA2,3116.395833,11927.25,4112.354167,4920.541667,3925.708333,2421.6875,550.1666667,3177.5625,6613.354167,2818.229167,1362.520833,6899.479167,37030.20833,37030.20833,19781.52083,8896.5625,28736.02083,28736.02083,28736.02083,21926.9375,28736.02083,21926.9375,37030.20833,28736.02083,26228.10417,23099.91667,26228.10417,28736.02083,4282.125,12231.39583,28736.02083,11660.85417,23099.91667,21926.9375,26228.10417,33189.35417,20992.25,26228.10417,28736.02083
FGD4,681.3125,1138.291667,1533.708333,1064.958333,946.4791667,1279.104167,462.4791667,1085.395833,819.9791667,668.7291667,1014.104167,623.2708333,293.8333333,798.4583333,685.8541667,81.0625,0,310.3958333,472.4166667,273.3958333,142.5,212.0416667,316.8958333,488.2291667,304.9166667,100.7083333,281.9166667,520.2916667,244.1458333,24.04166667,35.0625,531.5833333,283.4166667,87.20833333,896.3125,57.04166667,327.5,358.125,253.625
CTNNA1,1736.583333,2183.291667,2774.875,2028.979167,1667.458333,3116.395833,874.2708333,2115.5625,1966.229167,1820.291667,2160.4375,1570.708333,713.3541667,450.25,393.4166667,923.6458333,576.7708333,1129.854167,1958.708333,209.0416667,817.2916667,845.7708333,104.125,847.2708333,875,523.7083333,989.2083333,1142.375,360.8958333,307.7291667,510.3958333,956.0833333,417.5416667,183.7291667,1206.791667,170.6458333,948.5416667,800.6041667,594.9791667
RNU5A-1,53.47916667,568.7708333,213.5208333,318.8333333,163.6041667,143.2083333,30.45833333,194.0833333,163.875,75.25,42.02083333,196.9166667,5443.5,15062.89583,9235.8125,1671.5,11418.5,15717.4375,7581.4375,11660.85417,6061.5625,4061.520833,19104.27083,586.0833333,3218.458333,11171.9375,4457.833333,6004,20992.25,4755.625,10963.875,8040.645833,7581.4375,13480.1875,6806.5,6152.041667,1070.854167,4504.6875,9691.770833
ADNP,1014.708333,1112.25,1011.916667,1058.875,791.4375,838.6041667,712.9583333,859.9375,848.8958333,998.4375,1119.395833,1095.541667,622.0416667,194.125,595.8333333,542.4791667,608.8541667,214.6666667,667.4791667,11.08333333,761.8958333,263.9375,803.3958333,614.9791667,372.625,72.70833333,218.125,425.375,176.4583333,249.25,370.1666667,423.5625,364.9583333,87.20833333,213.2291667,40.58333333,795.0208333,469.6041667,328.5208333
ELF2,302.5208333,423.1875,382.3333333,451.5208333,342.1666667,424.6666667,737.3333333,354.7708333,392.0416667,422.4166667,505.375,321.25,50.41666667,247.2083333,299.0625,0,0,426.7291667,139,59.45833333,205.5833333,263.9375,104.125,251.2291667,114.1875,116.2708333,415.6458333,310.5833333,149.2083333,31.14583333,147.625,191.0833333,48.58333333,140.2916667,109.0625,132.5833333,389.5625,190.6666667,116.9791667
RNU5E-1,9,1475.166667,141.3958333,205.5833333,156.5,267.9166667,39.41666667,271.5416667,70.22916667,15.77083333,19.4375,361.1458333,8256.395833,13996.54167,20992.25,3999.041667,10062.6875,18211.3125,14619.16667,7394.583333,4920.541667,5443.5,15717.4375,1274.395833,2157.604167,12653.08333,6004,8256.395833,19104.27083,3955.8125,9235.8125,6004,7906.916667,11418.5,5273.104167,4607.770833,2692.125,5896.916667,4265.8125
DYNC2H1,873.625,863.1875,1178.041667,1432.416667,1112.25,1032.083333,183.5625,1148.895833,1101.645833,1328.3125,1463.020833,991.5416667,523.0208333,767.8333333,516.1666667,678.1458333,0,426.7291667,922.7083333,43.70833333,432.7708333,524.9791667,294.5,707.5833333,601.6875,280.7083333,268.1041667,836.8333333,470.125,155.3541667,634.875,294.5416667,179.0625,806.7916667,360.4583333,57.04166667,650.7708333,143.7916667,519.1041667
MYO6,848.5208333,5273.104167,3925.708333,5080.854167,7394.583333,6485.0625,339.1875,5835.9375,5273.104167,3537.958333,3486.854167,5192.541667,8661.083333,11660.85417,19104.27083,2702.25,13996.54167,15062.89583,8129.479167,19781.52083,15717.4375,10963.875,18211.3125,5681.020833,19781.52083,19781.52083,37030.20833,18211.3125,13006.22917,11418.5,19781.52083,9545.458333,16953.625,15717.4375,9545.458333,23099.91667,8661.083333,20992.25,12653.08333
TMX2,128.375,148.75,184.5416667,167.9583333,74.5625,239.5833333,160.5625,112.125,150.9791667,156.5208333,181.4583333,115.1458333,166.375,0,0,81.0625,0,66.54166667,0,11.08333333,32.75,1.354166667,0,89.08333333,16.89583333,0,1.770833333,0,14.20833333,9.333333333,12.02083333,0,0,0,0,0,62.5,77.89583333,6.3125
MIR7641-2,4.9375,1003.8125,326.375,361.4375,681.75,129.1041667,50.08333333,769.0208333,189.5833333,81.5625,112.75,352.8541667,7394.583333,7100.208333,3486.854167,3367.541667,7514.3125,5681.020833,784.8541667,4633.020833,2449.708333,2068.083333,4864.0625,851.5833333,4020.458333,4714.270833,817.7291667,6676.875,1090.3125,2267.375,1597.541667,541.8541667,3143.229167,6749.270833,6485.0625,6235.125,3367.541667,3432.479167,3635.8125
SNORA74B,327.8541667,1423.020833,653.5625,790.1875,802.4791667,88.72916667,41.5625,444.6041667,291.0833333,104.4166667,363.3125,603.125,6004,4576.666667,1564.020833,1362.520833,6061.5625,4864.0625,1140.875,2983.416667,1901.854167,2151.0625,3008.125,1709.583333,2293.75,3218.458333,3040.6875,3035.166667,360.8958333,2424.145833,2077.4375,541.8541667,3444.354167,4504.6875,1347.916667,4714.270833,1259.229167,3404.125,3600.3125
ITM2A,68.64583333,53.72916667,31.29166667,10.54166667,42.60416667,37.8125,116.875,36.08333333,29.41666667,12.22916667,29.27083333,48.64583333,0,0,0,0,0,0,0,0,0.854166667,0,0,18.79166667,0,0,4.416666667,0,0,0,0,0,0,0,7.0625,12.52083333,9.770833333,0,1.520833333
RNF141,63.33333333,242.5833333,156.7916667,299.9375,95.47916667,354.9791667,422.125,157.5,204,119.25,162.6875,163,0,65.54166667,0,81.0625,0,8.625,219,11.08333333,14.4375,174.25,0,141.9166667,43.52083333,27.20833333,8.520833333,29.0625,0,24.04166667,76.58333333,12.64583333,48.58333333,0,2.75,12.52083333,113.5,35,4.645833333
AEBP2,660.8958333,1243.375,550.1666667,893.5833333,806.7916667,481.7708333,406.2708333,1512.1875,2055.291667,1711.541667,835,1568.854167,3404.125,3289.770833,632.2916667,4173.75,4265.8125,5443.5,1588.833333,9235.8125,5791.979167,12231.39583,8774.958333,5192.541667,8040.645833,11660.85417,7906.916667,9876.708333,3432.479167,16953.625,11660.85417,7186.375,13480.1875,13006.22917,18211.3125,12231.39583,3547.3125,9545.458333,19104.27083
GOLGA4,3355.5,3925.708333,3592.375,3517.791667,7100.208333,3581.166667,4197.104167,4920.541667,4220.770833,3547.3125,3867.458333,4088.5625,1763.333333,1173.375,4607.770833,1960.875,374.3125,3002.375,1800.395833,1334.708333,1454.708333,1848.729167,1406.979167,2929.4375,3355.5,1326.708333,2138.479167,1931.479167,1156.104167,1633.541667,618.3541667,1730.375,1144.145833,328.6666667,1327.375,404.375,2519.729167,1875.75,788.625
MTRNR2L8,4.9375,107.2291667,82,15.72916667,171.125,21.1875,171.375,229.125,25.35416667,21.79166667,24.35416667,30.39583333,1924.8125,798.4583333,555.2916667,199.2083333,1395.875,1286.104167,610.8125,2305.666667,1071.270833,1685.333333,2449.708333,103.7291667,511.4166667,3706.8125,879.25,2107.604167,454.8541667,548.7916667,949.2916667,1711.541667,1681.333333,2885.3125,1688.770833,2738.8125,704.2916667,1845.791667,1507.020833
SMARCE1,812.7708333,955.5416667,1117.541667,731.2708333,650.4791667,992.1458333,659.0833333,807.8541667,1009.0625,655,586.2083333,899.6666667,188.5625,219.5416667,199.3541667,1045.375,156.7916667,511.9375,535.2291667,348.2708333,424.2083333,493.1041667,316.8958333,327.4583333,435.6458333,496.9791667,56.95833333,337.2083333,41.16666667,307.7291667,813.125,183.0416667,256.1458333,87.20833333,28.33333333,190.7083333,459.3333333,725.625,343.5416667
COL6A1,11171.9375,2845.125,2237.625,1099.333333,2387.354167,1290.229167,1087.875,3143.229167,3109.875,7684.5625,2570.6875,3303.020833,5791.979167,7394.583333,1577.229167,12231.39583,4061.520833,9332.3125,5273.104167,10963.875,8774.958333,13996.54167,11660.85417,5896.916667,7304.479167,9691.770833,15062.89583,11171.9375,2355.041667,9876.708333,8433.895833,8129.479167,9876.708333,12653.08333,12653.08333,15062.89583,8774.958333,9876.708333,9332.3125
SCAF1,1393.666667,792.3333333,510.7291667,451.5208333,498.125,430.1458333,544.5,900.6666667,847.75,837.125,613.9375,849.6041667,1552.645833,1550.6875,971.8958333,1354.583333,1599.4375,2458.395833,1755.041667,5192.541667,2093.395833,2267.375,3334.958333,1559.270833,3153.604167,3464.5625,2533.020833,2107.604167,1822.5625,2711.708333,2424.145833,447.0208333,2506.854167,4020.458333,5394.625,4020.458333,1302.875,3696.645833,3289.770833
MDM4,1081.375,1820.291667,1802.875,1361.229167,1779.833333,1255.729167,588.1666667,1129.104167,1142.375,1383.5,1758.3125,1670.645833,1361.229167,1718.375,2315.833333,1768.166667,4633.020833,4306.8125,3235.541667,5239.020833,3394.5625,3854.145833,6116.416667,2037.270833,1875.75,7304.479167,4282.125,4529.479167,4173.75,7394.583333,7100.208333,3725.75,3885.291667,8256.395833,6152.041667,4504.6875,1979.770833,2355.041667,3804.1875
DUSP11,109.4583333,172.2916667,110.2083333,102.3125,114.5416667,131.5416667,110.8958333,55.14583333,77.60416667,119.25,115.4791667,195.6458333,96.6875,0,0,103.75,0,8.625,31.52083333,19.47916667,8.895833333,3.520833333,0,61.04166667,77.75,5.375,3.0625,0,32.8125,9.333333333,0,0,0,0,7.0625,0,39.16666667,23.52083333,4.645833333
